,Status,Number_of_Properties,Consent,Minor_Variance,Official_Plan_Rezoning,Site_Plan_Application,lat,lon,Council,Average_Income,Secondary_Plan,Business_Improvement_Area,Site_and_Area_Specific_Policy,Zoning_Category
56,Approved,More Than One Property,1,0,0,0,43.8249932,-79.2517593,Scarborough Community Council,28085,0,0,0,Employment Industrial
57,Approved,One Property,1,0,0,0,43.6669626,-79.4986099,Etobicoke York Community Council,34059,0,0,0,Residential
58,Approved,One Property,1,0,0,0,43.66691876,-79.49887906000001,Etobicoke York Community Council,34059,0,0,0,Residential
59,Denied,More Than One Property,0,1,0,0,43.648748,-79.55025235,Etobicoke York Community Council,52787,0,0,0,Residential
60,Denied,One Property,0,1,0,0,43.7350773,-79.4372096,North York Community Council,51181,0,0,0,Residential
61,Denied,One Property,0,1,0,0,43.58890842987636,-79.54156243205487,Etobicoke York Community Council,47384,0,0,0,Residential
63,Approved,One Property,1,0,0,0,43.70095853740091,-79.4936760110628,Etobicoke York Community Council,32483,0,0,0,Residential
64,Approved,One Property,0,0,0,1,43.68237665,-79.40601524068461,Toronto and East York Community Council,165047,0,0,0,Residential
65,Approved,One Property,0,0,0,1,43.7599222,-79.4187515,North York Community Council,72371,1,0,0,Commercial Residential
66,Approved,One Property,0,0,0,1,43.7501389,-79.5520129,Etobicoke York Community Council,30731,0,1,0,Employment Industrial
68,Denied,More Than One Property,0,0,1,0,43.648967,-79.53035559285715,Etobicoke York Community Council,52787,0,0,0,Residential
69,Denied,One Property,0,1,0,0,43.67245265,-79.413168625,Toronto and East York Community Council,112766,0,0,0,Residential
70,Approved,One Property,0,1,0,0,43.68895276594892,-79.42668668553243,Toronto and East York Community Council,65274,0,0,0,Residential
71,Approved,One Property,0,0,0,1,43.68430315,-79.48731009770447,Etobicoke York Community Council,30827,0,0,1,Residential
72,Denied,One Property,1,1,0,0,43.67074282222222,-79.29207263333333,Toronto and East York Community Council,92580,0,0,0,Residential
73,Denied,One Property,1,1,0,0,43.6707941,-79.2920934,Toronto and East York Community Council,92580,0,0,0,Residential
74,Denied,More Than One Property,0,0,1,0,43.71071605,-79.39681894639607,North York Community Council,57039,1,0,0,Residential
75,Approved,One Property,0,1,0,0,43.65211844615385,-79.40412259230769,Toronto and East York Community Council,37422,0,0,0,Residential
76,Denied,More Than One Property,0,0,1,0,43.7280265,-79.298825107623,Scarborough Community Council,35047,0,0,0,Residential Apartment
77,Denied,One Property,0,1,0,0,43.67091721095065,-79.31954206544037,Toronto and East York Community Council,46206,0,0,0,Residential
78,Denied,One Property,0,1,0,0,43.6939993,-79.56964625,Etobicoke York Community Council,31771,0,0,1,Employment Industrial
79,Approved,One Property,1,0,0,0,43.6190483,-79.5380053644422,Etobicoke York Community Council,52787,0,0,0,Employment Industrial
80,Approved,One Property,0,1,0,0,43.7728964,-79.4262348,North York Community Council,44576,0,0,0,Residential
81,Denied,One Property,0,1,0,0,43.77233452173913,-79.42946273478262,North York Community Council,44576,0,0,0,Residential
82,Approved,One Property,1,0,0,0,43.7566954875,-79.41644580625,North York Community Council,72371,0,0,0,Residential
83,Approved,More Than One Property,0,0,1,0,43.654287,-79.3982905,Toronto and East York Community Council,37422,0,1,1,Commercial Residential
84,Denied,One Property,0,1,0,0,43.71476286153846,-79.23268895384615,Scarborough Community Council,44718,0,0,0,Residential
86,Denied,One Property,0,1,0,0,43.6852188,-79.4480884,Toronto and East York Community Council,35112,0,0,0,Residential
87,Approved,One Property,1,0,0,0,43.7257573,-79.4159416,North York Community Council,123077,0,0,0,Residential
88,Approved,One Property,0,1,0,0,43.78615730460904,-79.35880632202253,North York Community Council,37379,0,0,0,Residential
89,Denied,One Property,1,1,0,0,43.712998148,-79.3012341,Toronto and East York Community Council,43907,0,0,0,Residential
91,Denied,One Property,0,1,0,0,43.6927472,-79.4141292,Toronto and East York Community Council,204521,0,0,0,Residential
92,Denied,One Property,0,1,0,0,43.59121986666667,-79.54102246666667,Etobicoke York Community Council,47384,0,0,0,Residential
93,Denied,One Property,0,1,0,0,43.59129918888889,-79.54105998888889,Etobicoke York Community Council,47384,0,0,0,Residential
94,Approved,One Property,0,0,0,1,43.7058931,-79.5312742,Etobicoke York Community Council,32997,0,0,1,Residential Apartment
95,Approved,One Property,1,0,0,0,43.69163212307692,-79.49676955384615,Etobicoke York Community Council,30827,0,0,0,Residential
96,Approved,One Property,0,0,0,1,43.711517,-79.3767901,North York Community Council,125564,0,0,0,Commercial Residential
97,Approved,More Than One Property,1,0,0,0,43.6074535,-79.5035061,Etobicoke York Community Council,44101,0,0,0,Employment Industrial
