,Status,Number_of_Properties,Consent,Minor Variance,Official Plan Rezoning,Site Plan Application,Secondary_Plan,Average_Income,Etobicoke York Community Council,North York Community Council,Scarborough Community Council,Toronto and East York Community Council
515,0,1,0,0,1,0,0,64140,1,0,0,0
516,1,0,0,1,0,0,1,89330,0,1,0,0
517,1,0,0,0,0,1,0,54438,1,0,0,0
518,1,1,0,0,1,0,0,56526,0,0,0,1
519,1,0,0,0,1,0,0,44177,1,0,0,0
520,1,0,1,0,0,0,0,44718,0,0,1,0
521,1,0,0,1,0,0,0,111730,0,1,0,0
522,1,1,1,1,0,0,0,169203,0,1,0,0
523,0,1,0,0,1,0,0,53583,0,0,0,1
524,0,0,0,1,0,0,0,101551,1,0,0,0
525,0,0,1,1,0,0,0,47709,1,0,0,0
526,0,0,0,1,0,0,0,58915,0,0,0,1
527,0,0,0,0,1,0,1,57039,0,0,0,1
528,1,0,0,1,0,0,1,169203,0,1,0,0
529,1,0,0,1,0,0,1,36359,0,1,0,0
530,0,1,0,0,1,0,0,207903,0,0,0,1
531,1,0,0,1,0,0,0,123077,0,1,0,0
532,1,0,0,1,0,0,0,123077,0,1,0,0
533,1,0,0,1,0,0,0,169203,0,1,0,0
534,1,1,0,0,0,1,0,50757,0,0,0,1
535,1,0,0,1,0,0,0,123077,0,1,0,0
536,1,0,0,1,0,0,0,111730,0,1,0,0
537,1,0,0,1,0,0,0,111730,0,1,0,0
538,1,0,0,1,0,0,0,100516,0,1,0,0
539,1,0,0,1,0,0,0,72371,0,1,0,0
540,1,0,0,1,0,0,1,36359,0,1,0,0
541,1,1,0,0,0,1,0,47709,1,0,0,0
542,1,0,1,0,0,0,0,35786,0,1,0,0
543,1,0,0,1,0,0,0,28875,0,1,0,0
544,1,1,0,0,1,0,0,48134,0,1,0,0
545,0,1,0,0,1,0,1,58915,0,0,0,1
546,1,0,0,1,0,0,1,85340,0,1,0,0
547,1,0,0,1,0,0,1,67757,0,1,0,0
548,0,0,0,1,0,0,0,31771,1,0,0,0
549,1,0,0,1,0,0,1,85340,0,1,0,0
550,0,1,0,0,1,0,1,52787,1,0,0,0
551,1,1,0,0,1,0,1,52787,1,0,0,0
552,1,1,0,0,0,1,1,45212,0,1,0,0
553,0,0,0,1,0,0,0,33316,1,0,0,0
555,1,0,0,0,1,0,0,40588,0,0,0,1
556,1,0,0,1,0,0,0,33528,0,0,0,1
557,0,1,0,0,1,0,0,57465,0,0,0,1
558,0,0,1,0,0,0,1,48134,0,1,0,0
559,0,0,1,0,0,0,0,125564,0,1,0,0
560,1,1,0,0,0,1,1,58915,0,0,0,1
561,1,0,0,1,0,0,1,169203,0,1,0,0
563,0,0,0,0,1,0,0,35047,0,0,1,0
564,1,0,0,1,0,0,1,71204,0,0,0,1
567,0,0,0,1,0,0,0,73253,0,0,0,1
568,1,0,0,1,0,0,0,55199,0,0,0,1
569,0,0,0,1,0,0,1,71204,0,0,0,1
570,0,0,0,1,0,0,1,71204,0,0,0,1
571,1,0,0,1,0,0,0,39740,0,0,0,1
572,1,0,0,1,0,0,0,204521,0,0,0,1
573,0,0,0,1,0,0,0,65274,0,0,0,1
574,1,1,0,0,0,1,0,65274,0,0,0,1
575,0,0,0,1,0,0,0,204521,0,0,0,1
576,0,0,1,1,0,0,0,47709,1,0,0,0
578,0,1,0,0,0,1,1,34597,0,0,0,1
579,1,0,1,0,0,0,0,34059,1,0,0,0
580,0,1,0,0,1,0,0,45212,0,1,0,0
581,1,1,0,0,1,0,0,52787,1,0,0,0
582,0,0,0,1,0,0,0,35112,0,0,0,1
583,0,0,0,1,0,0,0,31771,1,0,0,0
584,1,1,1,1,0,0,0,54360,0,0,1,0
585,0,0,0,1,0,0,0,169203,0,1,0,0
586,1,0,0,1,0,0,0,62378,1,0,0,0
587,0,0,0,0,1,0,1,57039,0,0,0,1
588,1,0,1,0,0,0,0,47709,1,0,0,0
589,1,0,0,1,0,0,1,67757,0,1,0,0
590,1,0,0,1,0,0,0,47710,0,0,0,1
591,0,0,0,1,0,0,0,123077,0,1,0,0
592,1,0,1,1,0,0,0,72371,0,1,0,0
593,1,0,0,1,0,0,0,112766,0,0,0,1
594,1,0,0,1,0,0,0,40588,0,0,0,1
595,1,0,0,1,0,0,1,67757,0,1,0,0
596,1,0,0,1,0,0,0,45615,1,0,0,0
597,1,0,0,1,0,0,0,37108,1,0,0,0
598,1,1,0,1,0,0,0,58071,0,0,0,1
599,1,0,1,0,0,0,0,53803,0,0,0,1
600,1,0,0,1,0,0,0,50694,0,0,0,1
601,1,0,0,1,0,0,1,89330,0,1,0,0
602,1,0,1,1,0,0,0,36232,0,0,1,0
603,1,0,1,1,0,0,0,40588,0,0,0,1
604,1,0,0,1,0,0,1,71204,0,0,0,1
605,1,0,0,1,0,0,0,55225,0,0,0,1
606,1,0,0,1,0,0,0,34768,0,1,0,0
607,1,0,1,0,0,0,0,53583,0,0,0,1
608,1,0,1,0,0,0,0,53583,0,0,0,1
609,1,0,0,1,0,0,0,30731,1,0,0,0
610,1,0,0,1,0,0,0,58071,0,0,0,1
611,1,0,0,1,0,0,0,35047,0,0,1,0
612,1,0,0,1,0,0,0,50580,0,0,0,1
613,1,0,0,1,0,0,0,71888,0,0,0,1
614,1,0,0,1,0,0,0,35207,0,0,0,1
615,0,1,0,1,0,1,0,33323,0,0,1,0
616,1,0,0,1,0,0,0,50694,0,0,0,1
617,0,0,0,1,0,0,0,308010,0,1,0,0
618,1,0,1,0,0,0,0,33323,0,0,1,0
619,1,0,0,1,0,0,0,169203,0,1,0,0
620,1,0,0,1,0,0,0,112766,0,0,0,1
621,1,0,0,1,0,0,0,47002,1,0,0,0
622,1,0,0,1,0,0,0,33316,0,0,0,1
623,0,0,0,1,0,0,0,169203,0,1,0,0
624,1,0,0,1,0,0,0,204521,0,0,0,1
625,1,0,0,1,0,0,0,34768,0,1,0,0
626,1,0,1,0,0,0,0,41717,0,0,0,1
627,1,0,0,1,0,0,0,76629,0,0,0,1
628,1,0,0,1,0,0,0,169203,0,1,0,0
629,1,0,1,1,0,0,0,47384,1,0,0,0
630,1,0,0,1,0,0,0,35786,0,1,0,0
631,1,0,1,0,0,0,0,36232,0,0,1,0
632,1,0,1,1,0,0,0,54360,0,0,1,0
633,1,0,0,1,0,0,0,44101,1,0,0,0
634,1,0,0,1,0,0,0,44101,1,0,0,0
635,1,0,0,1,0,0,1,114174,0,0,0,1
637,1,0,0,1,0,0,0,47710,0,0,0,1
638,1,0,0,1,0,0,0,72371,0,1,0,0
639,1,0,0,1,0,0,0,39740,0,0,0,1
640,1,0,0,1,0,0,0,53315,0,0,0,1
641,1,0,1,0,0,0,0,169203,0,1,0,0
642,1,0,0,1,0,0,0,37422,0,0,0,1
643,1,0,0,1,0,0,0,99055,1,0,0,0
644,1,0,0,1,0,0,0,70600,0,0,0,1
645,0,0,0,1,0,0,0,54324,0,0,0,1
646,1,0,0,1,0,0,0,53803,0,0,0,1
647,1,0,0,1,0,0,0,123077,0,1,0,0
648,1,0,0,1,0,0,0,38527,0,1,0,0
649,1,0,0,1,0,0,0,32815,1,0,0,0
650,1,0,0,1,0,0,0,70831,0,0,0,1
651,1,0,1,1,0,0,0,36232,0,0,1,0
652,1,0,0,1,0,0,0,73253,0,0,0,1
653,1,0,1,0,0,0,1,58915,0,0,0,1
654,1,0,0,1,0,0,0,53203,0,0,1,0
656,1,0,0,1,0,0,0,48511,0,0,0,1
657,1,0,0,1,0,0,0,51181,0,1,0,0
658,1,0,1,1,0,0,1,38527,0,1,0,0
659,1,0,0,1,0,0,0,30430,0,0,0,1
660,1,0,0,1,0,0,0,308010,0,1,0,0
661,1,0,0,1,0,0,0,67757,0,1,0,0
662,1,0,0,1,0,0,0,33323,0,0,1,0
663,1,0,0,1,0,0,1,48134,0,1,0,0
664,1,0,1,1,0,0,0,39556,0,0,1,0
665,1,0,0,1,0,0,0,92580,0,0,0,1
666,1,0,0,1,0,0,0,33316,1,0,0,0
667,1,0,0,1,0,0,0,123077,0,1,0,0
668,1,0,0,1,0,0,0,53803,0,0,0,1
669,1,0,0,1,0,0,0,33829,1,0,0,0
670,1,0,0,1,0,0,0,169203,0,1,0,0
671,1,0,0,1,0,0,0,169203,0,1,0,0
672,1,0,0,1,0,0,1,85340,0,1,0,0
673,1,0,0,1,0,0,0,92580,0,0,0,1
674,1,0,0,1,0,0,0,125564,0,1,0,0
675,1,0,0,1,0,0,0,51846,0,0,0,1
676,1,0,0,1,0,0,0,70831,0,0,0,1
677,1,0,0,1,0,0,0,53203,0,0,1,0
678,1,0,0,1,0,0,0,51846,0,0,0,1
679,1,0,0,1,0,0,0,308010,0,1,0,0
680,1,0,0,1,0,0,0,123077,0,1,0,0
681,1,0,0,1,0,0,0,54324,0,0,0,1
682,1,0,0,1,0,0,0,33323,0,0,1,0
683,1,0,0,1,0,0,1,67757,0,1,0,0
684,1,0,0,1,0,0,0,39740,0,0,0,1
685,1,1,1,0,0,0,0,45936,0,1,0,0
686,0,0,0,1,0,0,0,101551,1,0,0,0
687,1,0,0,1,0,0,0,44557,0,0,0,1
688,1,0,1,0,0,0,0,44718,0,0,1,0
689,0,0,0,0,1,0,0,64140,1,0,0,0
690,1,0,1,0,0,0,0,50580,0,0,0,1
691,1,1,1,0,0,0,0,52787,1,0,0,0
692,1,0,1,0,0,0,0,54360,0,0,1,0
693,0,1,0,0,1,1,0,112766,0,0,0,1
694,1,0,0,1,0,0,0,112766,0,0,0,1
695,0,0,0,1,0,0,1,89330,0,0,0,1
696,1,0,0,1,0,0,1,48134,0,1,0,0
697,1,0,0,1,0,0,1,48134,0,1,0,0
698,1,0,0,1,0,0,1,48134,0,1,0,0
699,1,0,0,1,0,0,1,48134,0,1,0,0
701,1,0,0,1,0,0,0,169203,0,1,0,0
702,0,0,0,1,0,0,0,47384,1,0,0,0
703,1,0,0,0,1,1,0,32724,0,1,0,0
704,0,0,0,1,0,0,0,308010,0,1,0,0
705,1,0,0,1,0,0,0,33323,0,0,1,0
706,0,0,0,1,0,0,0,38527,0,1,0,0
707,1,0,0,1,0,0,0,65274,0,0,0,1
708,1,0,0,1,0,0,0,50757,0,0,0,1
709,1,0,1,1,0,0,0,33323,0,0,1,0
710,1,0,1,1,0,0,1,40972,0,0,1,0
711,1,1,1,0,0,0,0,55199,0,0,0,1
712,1,1,0,0,1,0,1,207903,0,0,0,1
713,0,0,0,1,0,0,0,71204,0,0,0,1
714,1,0,0,1,0,0,0,125564,0,1,0,0
715,0,0,0,1,0,0,0,76629,0,0,0,1
716,1,0,0,1,0,0,0,45326,0,1,0,0
717,1,0,0,1,0,0,0,111730,0,1,0,0
718,1,0,0,1,0,0,0,53803,0,0,0,1
719,1,0,0,1,0,0,1,89330,0,0,0,1
720,1,1,1,1,0,0,0,31825,0,0,1,0
721,0,1,0,0,1,0,1,85340,0,1,0,0
722,1,0,1,0,0,0,0,48511,0,0,0,1
723,1,0,0,1,0,0,1,85340,0,1,0,0
724,0,0,0,1,0,0,0,49709,0,0,0,1
725,1,0,0,1,0,0,0,43907,0,0,0,1
726,1,0,0,1,0,0,0,42516,0,1,0,0
727,1,0,0,1,0,0,0,44177,1,0,0,0
728,1,0,1,1,0,0,0,39740,0,0,0,1
729,0,0,1,1,0,0,0,165047,0,0,0,1
729,0,0,1,1,0,0,0,165047,0,0,0,1
730,1,0,0,1,0,0,0,38527,0,1,0,0
731,0,0,0,1,0,0,0,48134,0,1,0,0
732,0,0,0,1,0,0,0,32815,1,0,0,0
733,1,0,1,1,0,0,0,36232,0,0,1,0
734,1,0,1,1,0,0,0,36232,0,0,1,0
735,1,0,0,1,0,0,0,169203,0,1,0,0
736,1,0,0,1,0,0,0,44101,1,0,0,0
737,1,0,0,1,0,0,0,51846,0,0,0,1
738,1,0,0,1,0,0,0,45212,0,1,0,0
739,1,0,0,1,0,0,0,71204,0,0,0,1
740,1,0,0,1,0,0,0,92580,0,0,0,1
741,1,0,0,1,0,0,1,71204,0,0,0,1
742,1,0,0,1,0,0,0,39803,0,0,0,1
743,1,0,0,1,0,0,0,73253,0,0,0,1
744,1,0,0,1,0,0,0,92580,0,0,0,1
745,1,0,0,1,0,0,0,54360,0,0,1,0
746,0,0,0,1,0,0,0,101551,1,0,0,0
747,1,0,0,0,0,1,0,34059,1,0,0,0
748,1,1,1,0,0,0,0,31771,1,0,0,0
749,0,1,0,0,1,0,0,34904,0,1,0,0
750,0,0,0,1,0,0,0,101551,1,0,0,0
751,1,0,0,1,0,0,0,54460,0,0,0,1
752,0,0,0,1,0,0,1,54045,0,0,1,0
753,1,1,0,0,1,0,0,112766,0,0,0,1
753,1,1,0,0,1,0,0,112766,0,0,0,1
754,1,0,1,0,0,0,0,36359,0,1,0,0
755,0,1,0,0,1,1,1,85340,0,1,0,0
756,1,0,0,1,0,0,0,50580,0,0,0,1
757,0,1,0,0,1,0,1,34904,0,1,0,0
758,0,0,0,1,0,0,0,308010,0,1,0,0
759,1,0,1,0,0,0,0,45326,0,1,0,0
760,1,0,0,0,1,0,0,31692,0,0,1,0
762,1,0,0,1,0,0,0,46206,0,0,0,1
763,1,0,1,1,0,0,0,71888,0,0,0,1
764,1,0,0,1,0,0,0,111730,0,1,0,0
765,1,0,0,1,0,0,0,44718,0,0,1,0
766,1,0,0,1,0,0,0,169203,0,1,0,0
767,1,0,1,0,0,0,1,70623,0,0,0,1
768,0,1,0,0,1,0,1,70623,0,0,0,1
769,1,1,1,0,0,0,1,31825,0,0,1,0
770,0,0,0,0,1,0,0,53583,0,0,0,1
771,1,0,0,1,0,0,0,308010,0,1,0,0
772,1,0,0,0,0,1,0,31771,1,0,0,0
773,1,1,0,0,0,1,0,165047,0,0,0,1
774,1,0,0,0,0,1,0,37422,0,0,0,1
775,1,0,0,1,0,0,0,100516,0,1,0,0
776,1,0,0,0,0,1,0,32483,1,0,0,0
777,1,0,0,1,0,0,0,44718,0,0,1,0
778,1,0,0,1,0,0,0,41717,0,0,0,1
779,1,0,0,1,0,0,0,32724,0,1,0,0
780,1,0,0,1,0,0,1,85340,0,1,0,0
781,1,0,1,1,0,0,0,36232,0,0,1,0
782,1,0,0,1,0,0,0,125564,0,1,0,0
783,1,1,0,1,0,0,0,50694,0,0,0,1
784,0,0,0,1,0,0,0,47384,1,0,0,0
785,0,0,0,1,0,0,0,308010,0,1,0,0
786,0,0,0,0,1,0,0,53583,0,0,0,1
787,0,0,0,1,0,0,1,71204,0,0,0,1
788,0,0,0,1,0,0,0,62378,1,0,0,0
789,0,0,0,1,0,0,0,54324,0,0,0,1
790,0,0,1,1,0,0,0,44576,0,1,0,0
791,1,0,0,1,0,0,0,63012,0,0,0,1
792,0,0,0,1,0,0,0,169203,0,1,0,0
793,0,0,0,1,0,0,0,123077,0,1,0,0
794,0,0,0,1,0,0,0,123077,0,1,0,0
795,1,0,1,0,0,0,0,53203,0,0,1,0
796,1,1,1,0,0,0,1,57039,0,0,0,1
797,1,0,0,0,0,1,0,30878,0,0,1,0
798,0,0,0,1,0,0,0,92580,0,0,0,1
799,0,0,0,1,0,0,0,65274,0,0,0,1
800,1,0,0,1,0,0,0,58071,0,0,0,1
801,1,0,0,1,0,0,0,50694,0,0,0,1
802,1,1,1,0,0,0,0,56526,0,0,0,1
802,1,1,1,0,0,0,0,56526,0,0,0,1
803,1,0,0,1,0,0,1,70623,0,0,0,1
804,1,0,0,1,0,0,0,111730,0,1,0,0
805,1,0,0,1,0,0,0,39740,0,0,0,1
806,1,0,0,1,0,0,0,51846,0,0,0,1
807,1,0,0,1,0,0,0,125564,0,1,0,0
808,1,0,0,1,0,0,1,85340,0,1,0,0
809,1,0,0,1,0,0,0,30414,0,0,1,0
810,1,0,0,1,0,0,0,47709,1,0,0,0
811,1,0,0,1,0,0,1,114174,0,0,0,1
812,1,0,0,1,0,0,0,29528,1,0,0,0
813,1,0,0,1,0,0,0,51846,0,0,0,1
814,1,0,1,0,0,0,0,72371,0,1,0,0
815,1,0,1,0,0,0,0,52787,1,0,0,0
816,1,0,0,1,0,0,0,37422,0,0,0,1
817,0,0,0,1,0,0,0,50757,0,0,0,1
818,0,0,0,1,0,0,0,47384,1,0,0,0
819,1,0,0,1,0,0,0,54460,0,0,0,1
820,0,1,0,0,1,0,1,72371,0,1,0,0
821,1,0,1,1,0,0,0,31771,1,0,0,0
822,1,0,0,1,0,0,0,45326,0,1,0,0
823,1,0,0,1,0,0,0,53315,0,0,0,1
824,0,0,1,1,0,0,0,45615,1,0,0,0
825,1,0,0,0,1,0,1,57039,0,0,0,1
826,1,0,0,0,0,1,0,50694,0,0,0,1
827,0,1,0,0,1,0,0,70600,0,0,0,1
828,0,0,0,1,0,0,1,67757,0,1,0,0
829,1,0,1,0,0,0,1,40972,0,0,1,0
830,0,0,0,1,0,0,0,308010,0,1,0,0
831,0,0,1,1,0,0,0,47384,1,0,0,0
832,1,1,0,0,0,1,0,54324,0,0,0,1
833,0,1,0,0,1,0,1,89330,0,1,0,0
834,1,0,0,0,0,1,0,34168,1,0,0,0
835,0,0,0,0,1,0,0,46206,0,0,0,1
836,1,0,0,1,0,0,0,45936,0,1,0,0
837,0,0,1,0,0,0,0,47384,1,0,0,0
838,1,0,1,1,0,0,0,42516,0,1,0,0
839,0,1,0,0,1,0,1,85340,0,1,0,0
840,1,1,0,0,0,1,0,50757,0,0,0,1
841,0,0,0,1,0,0,0,123077,0,1,0,0
842,0,1,0,1,0,0,0,99055,1,0,0,0
843,1,0,1,1,0,0,0,123077,0,1,0,0
844,1,0,0,1,0,0,0,33316,1,0,0,0
845,1,0,0,0,1,0,0,50694,0,0,0,1
846,0,0,0,0,1,0,1,52787,1,0,0,0
847,1,0,1,0,0,0,0,71888,0,0,0,1
848,1,0,1,0,0,0,0,92580,0,0,0,1
849,1,0,0,1,0,0,0,100516,0,1,0,0
850,1,0,0,1,0,0,0,55199,0,0,0,1
851,1,0,0,1,0,0,0,169203,0,1,0,0
852,0,0,1,1,0,0,0,47709,1,0,0,0
853,1,0,0,1,0,0,0,169203,0,1,0,0
854,1,0,0,1,0,0,0,37108,1,0,0,0
855,1,1,0,0,0,1,1,51181,0,1,0,0
856,1,0,0,0,0,1,0,31786,0,0,1,0
857,0,1,0,0,1,0,1,70600,0,0,0,1
858,0,0,1,0,0,0,0,47384,1,0,0,0
859,0,1,0,0,1,0,1,34200,0,0,1,0
860,0,0,0,0,1,0,0,53583,0,0,0,1
861,1,0,0,0,0,1,0,56526,0,0,0,1
862,0,1,0,1,0,0,0,49709,1,0,0,0
863,1,0,1,1,0,0,0,72371,0,1,0,0
864,0,0,0,1,0,0,1,67757,0,1,0,0
865,1,0,1,0,0,0,0,32815,1,0,0,0
866,0,0,0,1,0,0,0,34904,0,1,0,0
867,1,0,0,1,0,0,1,36359,0,1,0,0
868,1,0,1,0,0,0,0,31825,0,0,1,0
869,1,0,1,0,0,0,0,72371,0,1,0,0
870,1,0,0,0,1,0,1,57039,0,0,0,1
871,1,0,0,1,0,0,1,36359,0,1,0,0
872,1,0,1,0,0,0,0,43907,0,0,0,1
873,1,0,1,0,0,0,0,47384,1,0,0,0
874,1,0,0,1,0,0,0,42516,0,1,0,0
875,1,0,1,0,0,0,0,72371,0,1,0,0
876,0,1,0,0,1,0,1,70600,0,0,0,1
877,0,1,0,0,1,0,0,53583,0,0,0,1
877,0,1,0,0,1,0,0,53583,0,0,0,1
878,0,1,0,0,1,1,0,49709,0,0,0,1
879,0,0,0,0,1,0,0,49709,0,0,0,1
880,0,1,0,0,1,0,0,39740,0,0,0,1
881,1,0,1,0,0,0,0,43907,0,0,0,1
882,0,0,0,1,0,0,0,49709,0,0,0,1
883,1,1,0,0,1,1,0,50694,0,0,0,1
884,1,1,0,0,1,1,0,50694,0,0,0,1
885,1,1,0,0,0,1,1,70600,0,0,0,1
886,0,1,0,0,1,0,1,52035,0,1,0,0
887,0,0,1,0,1,0,0,38527,0,1,0,0
888,0,0,0,1,0,0,0,38527,0,1,0,0
889,0,0,0,0,1,0,0,35786,0,1,0,0
890,0,0,0,0,1,0,0,169203,0,1,0,0
891,1,0,0,0,1,0,0,53803,0,0,0,1
892,0,1,0,0,1,0,0,52787,1,0,0,0
893,0,0,1,0,0,0,0,125564,0,1,0,0
894,0,0,1,1,0,0,0,54360,0,0,1,0
895,1,0,1,0,0,0,0,47384,1,0,0,0
896,0,1,0,0,1,0,0,39803,0,0,0,1
897,0,1,0,1,0,0,0,63012,0,0,0,1
898,1,1,0,0,0,1,0,207903,0,0,0,1
899,0,0,1,1,0,0,0,72371,0,1,0,0
900,0,0,0,0,1,0,0,54438,1,0,0,0
901,0,0,0,0,1,0,0,44557,0,0,0,1
902,1,0,0,0,0,1,0,31825,0,0,1,0
903,0,0,1,0,0,0,0,43907,0,0,0,1
904,1,0,1,1,0,0,0,30033,0,0,1,0
905,1,0,1,0,0,0,0,47709,1,0,0,0
906,0,0,0,0,1,0,0,100516,0,1,0,0
907,1,1,1,0,0,0,0,29528,1,0,0,0
908,1,0,1,0,0,0,0,36232,0,0,1,0
909,0,0,1,1,0,0,0,53315,0,0,0,1
910,0,0,1,1,0,0,0,47384,1,0,0,0
911,0,0,1,0,0,0,0,34904,0,1,0,0
912,0,0,0,1,0,0,0,37108,1,0,0,0
913,0,0,1,0,0,0,0,34904,0,1,0,0
914,1,0,0,0,1,0,0,45212,0,1,0,0
915,0,1,0,0,1,0,0,36232,0,0,1,0
916,1,0,0,0,1,0,1,37379,0,1,0,0
917,1,0,0,0,1,0,0,30731,1,0,0,0
918,0,1,0,0,1,0,0,308010,0,1,0,0
919,0,0,1,0,0,0,1,70600,0,0,0,1
920,1,0,0,0,0,1,0,45737,0,0,0,1
921,0,0,1,0,0,0,1,70600,0,0,0,1
922,0,0,1,0,0,0,0,34904,0,1,0,0
923,1,0,0,0,0,1,0,31771,1,0,0,0
923,1,0,0,0,0,1,0,31771,1,0,0,0
924,1,1,0,0,1,0,0,39740,0,0,0,1
925,1,1,0,0,1,0,0,32997,1,0,0,0
926,0,1,0,0,1,0,1,70600,0,0,0,1
927,1,0,0,0,1,0,1,51181,0,1,0,0
928,0,1,0,0,1,0,1,70600,0,0,0,1
929,1,0,0,1,0,0,0,169203,0,1,0,0
930,0,0,0,0,1,0,0,54438,1,0,0,0
931,0,1,0,0,1,0,0,64140,1,0,0,0
932,1,0,0,0,0,1,0,44101,1,0,0,0
933,0,0,1,0,0,0,0,39003,1,0,0,0
934,1,0,1,0,0,0,0,54438,1,0,0,0
935,1,0,0,1,0,0,0,44718,0,0,1,0
936,1,0,0,1,0,0,0,169203,0,1,0,0
937,1,0,0,0,0,1,0,28085,0,0,1,0
938,0,0,1,1,0,0,1,70623,0,0,0,1
939,1,0,0,1,0,0,0,47246,0,1,0,0
940,0,0,0,1,0,0,0,70831,0,0,0,1
941,1,0,0,1,0,0,0,38527,0,1,0,0
942,0,0,0,0,1,0,0,70600,0,0,0,1
943,0,0,1,0,0,0,0,54324,0,0,0,1
944,1,0,1,0,0,0,0,72371,0,1,0,0
945,1,1,0,0,0,1,0,56526,0,0,0,1
946,1,1,0,0,0,1,1,70600,0,0,0,1
947,1,0,1,0,0,0,0,123077,0,1,0,0
948,1,1,0,0,1,0,0,40588,0,0,0,1
949,0,0,0,0,1,0,0,45326,0,1,0,0
950,1,1,0,0,1,0,0,53803,0,0,0,1
951,1,0,1,1,0,0,0,51181,0,1,0,0
952,1,0,1,0,0,0,0,123077,0,1,0,0
953,1,0,0,1,0,0,0,51181,0,1,0,0
954,1,0,0,1,0,0,0,38527,0,1,0,0
955,0,0,0,1,0,0,0,57465,0,0,0,1
956,0,0,1,1,0,0,0,47384,1,0,0,0
957,1,0,1,0,0,0,0,47709,1,0,0,0
958,1,0,0,0,0,1,0,39740,0,0,0,1
959,1,0,0,1,0,0,0,29958,1,0,0,0
960,1,1,0,0,0,1,0,125564,0,1,0,0
961,1,0,0,1,0,0,0,45212,0,1,0,0
962,1,0,0,1,0,0,0,64140,1,0,0,0
963,0,1,0,0,1,0,1,89330,0,1,0,0
964,0,0,0,1,0,0,0,123077,0,1,0,0
965,1,0,1,0,0,0,0,54438,1,0,0,0
966,1,0,1,0,0,0,0,44101,1,0,0,0
967,1,0,1,0,0,0,0,32815,1,0,0,0
968,0,0,0,1,0,0,0,44718,0,0,1,0
969,0,0,0,1,0,0,1,52787,1,0,0,0
970,0,0,1,1,0,0,0,39003,1,0,0,0
971,0,1,0,1,0,0,0,45326,0,1,0,0
972,1,1,1,0,0,0,0,33528,0,0,0,1
973,0,1,1,0,0,0,0,51846,0,0,0,1
974,1,0,0,0,1,0,0,36359,0,1,0,0
975,1,0,1,0,0,0,0,34904,0,1,0,0
976,0,1,0,0,1,0,1,70623,0,0,0,1
977,1,1,0,0,1,0,0,204521,0,0,0,1
978,0,1,0,0,1,0,0,48134,0,1,0,0
979,1,0,0,0,0,1,0,308010,0,1,0,0
980,1,0,0,1,0,0,0,111730,0,1,0,0
981,0,1,0,0,1,0,1,70600,0,0,0,1
982,1,0,0,0,0,1,0,28875,0,1,0,0
983,1,1,1,0,0,0,0,39803,0,0,0,1
984,1,0,1,0,0,0,0,47709,1,0,0,0
985,1,0,0,1,0,0,0,48134,0,1,0,0
986,1,0,1,0,0,0,0,44718,0,0,1,0
987,1,0,0,0,1,0,0,38255,1,0,0,0
988,1,0,1,0,0,0,1,48134,0,1,0,0
989,0,0,0,1,0,0,1,38527,0,1,0,0
991,0,1,0,0,1,0,0,44557,0,0,0,1
992,0,0,0,1,0,0,0,32815,1,0,0,0
993,0,1,0,0,1,0,0,52787,1,0,0,0
994,0,1,0,0,1,0,1,44576,0,1,0,0
995,0,1,0,0,1,0,0,45212,0,1,0,0
996,0,1,0,0,1,0,1,45326,0,1,0,0
997,0,0,0,0,1,0,1,57039,0,0,0,1
998,1,0,0,1,0,0,1,67757,0,1,0,0
999,0,0,0,1,0,0,0,47384,1,0,0,0
1000,0,0,1,0,0,0,0,123077,0,1,0,0
1002,0,1,0,0,1,0,0,40588,0,0,0,1
1003,1,0,0,1,0,0,1,67757,0,1,0,0
1004,1,0,0,1,0,0,0,34168,0,1,0,0
1005,1,0,1,0,0,0,0,144642,1,0,0,0
1006,0,0,0,1,0,0,1,85340,0,1,0,0
1007,0,0,1,0,0,0,0,100516,0,1,0,0
1008,1,1,0,0,0,1,1,58915,0,0,0,1
1009,0,1,0,0,1,0,0,70600,0,0,0,1
1010,1,0,0,0,1,1,0,49709,1,0,0,0
1011,1,1,0,0,1,0,1,34597,0,0,0,1
1012,1,0,0,1,0,0,0,45326,0,1,0,0
1013,0,1,0,0,1,0,1,70623,0,0,0,1
1014,0,0,0,1,0,0,0,85099,0,1,0,0
1015,0,0,1,0,0,0,0,64140,1,0,0,0
1016,0,0,1,1,0,0,0,52787,1,0,0,0
1017,1,0,0,1,0,0,0,39803,0,0,0,1
1018,0,0,1,0,0,1,0,39803,0,0,0,1
1019,1,0,0,1,0,0,0,40442,0,1,0,0
1020,1,0,0,1,0,0,0,39803,0,0,0,1
1021,1,1,0,0,1,0,1,207903,0,0,0,1
1022,1,0,0,1,0,0,0,72371,0,1,0,0
1023,0,0,0,0,1,1,1,58915,0,0,0,1
1024,1,0,0,1,0,0,0,125564,0,1,0,0
1025,1,1,0,1,0,0,0,29958,0,1,0,0
1026,1,0,1,1,0,0,0,101551,1,0,0,0
1027,1,0,0,1,0,0,0,45326,0,1,0,0
1028,1,0,0,1,0,0,0,45326,0,1,0,0
1029,1,0,1,0,0,1,0,70600,0,0,0,1
1030,0,0,1,1,0,0,0,53803,0,0,0,1
1031,1,1,1,0,0,0,0,34168,1,0,0,0
1032,1,1,0,0,1,0,1,114174,0,0,0,1
1033,1,0,0,0,1,0,0,32724,0,1,0,0
