,Status,Number_of_Properties,Consent,Minor Variance,Official Plan Rezoning,Site Plan Application,Secondary_Plan,Average_Income,Etobicoke York Community Council,North York Community Council,Scarborough Community Council,Toronto and East York Community Council
118,0,0,0,1,0,0,0,47384,1,0,0,0
119,1,0,0,1,0,0,0,53803,0,0,0,1
120,1,0,0,1,0,0,0,54360,0,0,1,0
121,1,0,1,0,0,0,0,34768,0,1,0,0
122,1,0,0,1,0,0,0,34200,0,0,1,0
123,1,0,1,0,0,1,0,36359,0,1,0,0
124,0,1,0,0,1,0,0,35047,0,0,1,0
125,1,0,0,1,0,0,0,44576,0,1,0,0
126,1,1,0,0,0,1,0,52035,0,1,0,0
127,1,0,0,1,0,0,0,144642,1,0,0,0
128,1,0,0,1,0,0,0,45212,0,1,0,0
129,1,0,0,1,0,0,0,92580,0,0,0,1
130,1,0,1,1,0,0,1,85340,0,1,0,0
131,1,0,0,1,0,0,0,207903,0,0,0,1
132,1,0,0,1,0,0,0,65274,0,0,0,1
133,1,0,0,1,0,0,0,38527,0,1,0,0
134,1,0,0,1,0,0,0,30878,0,0,1,0
135,0,0,0,1,0,0,0,54438,1,0,0,0
136,1,0,0,1,0,0,0,54360,0,0,1,0
137,1,0,1,1,0,0,0,26793,0,0,1,0
138,1,0,1,1,0,0,0,26793,0,0,1,0
139,0,1,0,0,0,1,1,34904,0,1,0,0
140,1,0,0,1,0,0,0,100516,0,1,0,0
141,1,0,0,1,0,0,0,44101,1,0,0,0
142,0,0,0,1,0,0,0,165047,0,0,0,1
142,0,0,0,1,0,0,0,165047,0,0,0,1
143,1,0,1,0,0,0,0,111730,0,1,0,0
144,1,0,0,1,0,0,0,125564,0,1,0,0
145,1,0,1,0,0,0,0,47384,1,0,0,0
146,1,1,1,0,0,0,0,46206,0,0,0,1
147,1,0,1,1,0,0,0,52787,1,0,0,0
148,1,1,0,0,0,1,0,52787,1,0,0,0
149,1,0,0,0,0,1,0,101551,1,0,0,0
150,0,1,0,0,1,0,0,34168,0,1,0,0
152,1,0,1,0,0,0,0,33316,1,0,0,0
153,1,0,0,1,0,0,0,125564,0,1,0,0
154,0,1,0,0,1,0,0,44718,0,0,1,0
155,0,1,0,0,1,0,0,101551,1,0,0,0
156,1,1,0,0,0,1,0,38527,0,1,0,0
157,1,0,1,0,0,0,0,31771,1,0,0,0
158,1,0,0,0,0,1,0,41717,0,0,0,1
159,1,0,0,0,1,0,0,33256,0,0,1,0
160,1,1,0,0,1,0,1,114174,0,0,0,1
161,1,0,1,1,0,0,0,123077,0,1,0,0
162,1,0,0,1,0,0,1,48134,0,1,0,0
163,0,1,0,0,1,0,1,45326,0,1,0,0
164,1,1,0,0,1,0,1,58915,0,0,0,1
165,0,0,0,0,1,0,0,56526,0,0,0,1
166,1,1,0,0,0,1,0,34768,0,1,0,0
167,1,0,0,1,0,0,0,52035,0,1,0,0
168,1,0,0,1,0,0,0,100516,0,1,0,0
169,1,0,1,0,0,0,0,39803,0,0,0,1
170,1,0,1,0,0,0,0,44101,1,0,0,0
171,1,0,0,0,0,1,0,39740,0,0,0,1
172,1,0,0,0,0,1,0,64140,1,0,0,0
173,0,1,0,0,1,0,0,54324,0,0,0,1
174,1,0,0,1,0,0,0,45936,0,1,0,0
175,1,1,0,0,0,1,0,32648,0,0,0,1
176,1,1,0,0,1,0,0,28875,0,1,0,0
177,0,0,0,1,0,0,0,50757,0,0,0,1
178,1,0,1,0,0,0,0,54360,0,0,1,0
179,0,0,0,1,0,0,0,92580,0,0,0,1
180,0,0,0,1,0,0,0,47709,1,0,0,0
181,1,0,0,0,0,1,1,89330,0,1,0,0
182,1,1,1,0,0,0,0,34059,1,0,0,0
183,1,0,0,1,0,0,1,85340,0,1,0,0
184,0,0,0,0,1,0,0,112766,0,0,0,1
185,0,0,0,1,0,0,1,72371,0,1,0,0
186,1,1,1,0,0,0,0,54360,0,0,1,0
187,1,0,0,0,1,0,0,31826,0,0,1,0
188,0,0,0,1,0,0,0,123077,0,1,0,0
189,1,0,0,0,1,0,0,26793,0,0,1,0
190,0,1,0,0,1,0,1,70600,0,0,0,1
191,1,1,0,0,1,0,0,45737,0,0,0,1
192,1,1,0,0,1,0,0,45737,0,0,0,1
194,1,0,1,0,0,0,0,27984,1,0,0,0
195,0,0,1,1,0,0,0,76629,0,0,0,1
196,1,0,0,1,0,0,0,51846,0,0,0,1
197,0,1,0,0,1,0,0,54360,0,0,1,0
198,0,0,1,1,0,0,0,47384,1,0,0,0
199,1,0,0,1,0,0,1,70623,0,0,0,1
200,0,0,0,1,0,0,0,51846,0,0,0,1
201,0,0,1,1,0,0,0,44576,0,1,0,0
202,0,0,0,1,0,0,0,92580,0,0,0,1
203,0,0,0,1,0,0,0,29958,0,1,0,0
